# ising_MCMC.py
# Initializing 2D ising system of size 32x32
# Will run at 2.000 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0           6.000          22.000               0
         1         -20.000        -584.000             597
         2           2.000        -810.000             463
         3         112.000        -932.000             363
         4         112.000       -1064.000             322
         5          66.000       -1170.000             297
         6          84.000       -1228.000             265
         7          56.000       -1254.000             246
         8           6.000       -1300.000             225
         9          18.000       -1274.000             222
        10          32.000       -1292.000             233
        11          -4.000       -1334.000             250
        12          -8.000       -1332.000             224
        13           0.000       -1320.000             222
        14          16.000       -1420.000             178
        15          10.000       -1422.000             167
        16          62.000       -1444.000             180
        17          76.000       -1466.000             181
        18         106.000       -1504.000             169
        19          46.000       -1524.000             168
        20           6.000       -1500.000             156
        21         -14.000       -1504.000             154
        22         -30.000       -1536.000             158
        23         -70.000       -1528.000             190
        24         -86.000       -1500.000             160
        25        -110.000       -1448.000             178
        26        -128.000       -1470.000             161
        27         -96.000       -1486.000             160
        28        -110.000       -1474.000             173
        29        -104.000       -1496.000             153
        30         -66.000       -1498.000             175
        31         -50.000       -1518.000             162
        32         -48.000       -1508.000             185
        33         -84.000       -1546.000             164
        34         -98.000       -1542.000             147
        35         -92.000       -1460.000             163
        36        -118.000       -1414.000             169
        37        -164.000       -1398.000             195
        38        -182.000       -1422.000             171
        39        -200.000       -1478.000             181
        40        -228.000       -1462.000             174
        41        -230.000       -1556.000             161
        42        -228.000       -1486.000             177
        43        -252.000       -1440.000             166
        44        -250.000       -1482.000             173
        45        -202.000       -1480.000             158
        46        -208.000       -1508.000             169
        47        -214.000       -1560.000             139
        48        -188.000       -1474.000             149
        49        -212.000       -1478.000             178
        50        -182.000       -1424.000             185
        51        -168.000       -1444.000             207
        52        -168.000       -1472.000             180
        53        -192.000       -1498.000             166
        54        -198.000       -1476.000             167
        55        -168.000       -1462.000             183
        56        -172.000       -1422.000             188
        57        -172.000       -1458.000             200
        58        -192.000       -1414.000             182
        59        -192.000       -1440.000             188
        60        -210.000       -1466.000             195
        61        -250.000       -1422.000             194
        62        -230.000       -1448.000             176
        63        -206.000       -1412.000             190
        64        -244.000       -1436.000             177
        65        -278.000       -1478.000             183
        66        -274.000       -1460.000             180
        67        -262.000       -1468.000             166
        68        -288.000       -1510.000             169
        69        -310.000       -1578.000             143
        70        -330.000       -1530.000             154
        71        -326.000       -1546.000             156
        72        -382.000       -1548.000             164
        73        -370.000       -1556.000             122
        74        -352.000       -1524.000             145
        75        -390.000       -1566.000             165
        76        -388.000       -1530.000             129
        77        -406.000       -1556.000             151
        78        -376.000       -1542.000             137
        79        -354.000       -1522.000             169
        80        -368.000       -1542.000             143
        81        -368.000       -1606.000             142
        82        -376.000       -1554.000             140
        83        -368.000       -1590.000             144
        84        -360.000       -1602.000             134
        85        -394.000       -1588.000             127
        86        -384.000       -1532.000             137
        87        -340.000       -1536.000             164
