# ising_MCMC.py
# Initializing 2D ising system of size 4x4
# Will run at 3.000 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0           4.000          -4.000               0
         1           4.000           0.000              10
         2           8.000          -4.000              12
         3           6.000          -4.000              11
         4           8.000           2.000              11
         5           4.000          -2.000               8
         6           2.000          -6.000              15
         7          -2.000          -6.000               6
         8          -6.000          -6.000              10
         9          -8.000          -6.000               7
        10          -8.000         -12.000               8
        11          -6.000          -2.000               5
        12          10.000          -6.000              12
        13          -2.000           0.000              12
        14          -6.000         -10.000              10
        15         -14.000         -16.000               6
        16         -16.000         -24.000               3
        17         -14.000         -18.000               1
        18         -14.000         -18.000               0
        19         -10.000         -16.000               6
        20         -14.000         -20.000               8
        21         -10.000         -12.000               4
        22         -12.000         -14.000               5
        23          -8.000          -6.000               4
        24         -10.000         -12.000               7
        25          -8.000          -8.000               3
        26          -6.000          -6.000               7
        27           2.000          -6.000               8
        28           2.000          -2.000              14
        29           6.000         -14.000              12
        30           6.000          -6.000              10
        31          12.000         -12.000              11
        32           6.000         -10.000               9
        33           8.000         -16.000               7
        34          12.000         -12.000               4
        35           2.000          -4.000               7
        36           0.000         -12.000              11
        37          -2.000          -8.000              11
        38           2.000         -14.000               4
        39          -6.000          -8.000              10
        40           0.000         -10.000              11
        41           2.000         -10.000               9
        42           2.000          -8.000              12
        43          -2.000           0.000               6
        44          -2.000          -6.000              12
        45           6.000         -10.000              10
        46          14.000         -18.000               4
        47           6.000         -10.000              12
        48           4.000          -8.000               7
        49           4.000          -6.000               8
        50           6.000          -8.000              11
        51           0.000          -6.000               9
        52          -4.000           2.000               8
        53           0.000          -4.000              12
        54          -6.000          -2.000               9
        55          -2.000           2.000              12
        56           2.000           2.000              14
        57          10.000          -8.000              10
        58          12.000         -14.000               7
        59          16.000         -24.000               4
        60           6.000         -12.000               5
        61           6.000         -10.000               8
        62          10.000         -14.000               6
        63           6.000         -10.000               8
        64           0.000          -2.000               9
        65          -4.000           0.000              10
        66          -6.000         -14.000               7
        67          -6.000           0.000               8
        68          -8.000          -6.000               9
        69          -4.000         -10.000              10
        70         -10.000         -12.000               7
        71          -4.000          -6.000               9
        72          -4.000          -4.000              12
        73         -12.000         -16.000               6
        74         -12.000         -18.000               4
        75         -16.000         -24.000               4
        76         -16.000         -24.000               2
        77         -16.000         -24.000               2
        78         -16.000         -24.000               2
        79          -8.000          -6.000               4
        80         -10.000         -16.000               7
        81         -16.000         -24.000               3
        82         -12.000         -18.000               6
        83         -10.000         -10.000               5
        84         -12.000         -14.000               9
        85         -12.000         -12.000               6
        86           0.000         -10.000               8
        87           2.000          -8.000               9
        88          -2.000         -12.000               8
        89          -2.000         -12.000               8
        90           6.000          -4.000              14
        91           4.000           0.000               9
        92           4.000          -6.000              14
        93          14.000         -18.000              11
        94          16.000         -24.000               3
        95          14.000         -20.000               1
        96          12.000         -16.000               1
        97          12.000         -16.000               2
        98          16.000         -24.000               2
        99          14.000         -20.000               5
       100          14.000         -20.000               2
       101          14.000         -18.000               4
       102          14.000         -16.000               4
       103          14.000         -16.000               4
       104          12.000         -12.000               3
       105           6.000          -8.000               7
       106          10.000          -4.000              10
       107           8.000          -8.000               7
       108          -2.000          -8.000               7
       109          -8.000         -10.000               7
       110         -12.000         -16.000               6
       111         -16.000         -24.000               2
       112          -8.000         -16.000               6
       113          -4.000         -14.000              10
       114          -8.000         -10.000               2
       115         -10.000         -12.000               7
       116         -16.000         -24.000               5
       117         -16.000         -24.000               4
       118         -16.000         -24.000               4
       119         -16.000         -24.000               0
       120         -14.000         -16.000               3
       121         -12.000         -16.000               5
       122         -12.000         -12.000               8
       123         -14.000         -20.000               3
       124         -10.000         -14.000               4
       125          -8.000         -10.000               7
       126          -2.000         -10.000              11
       127          -6.000          -4.000              12
       128           4.000          -4.000              11
       129           8.000         -10.000              10
       130          12.000         -14.000               4
       131           8.000         -10.000               6
       132          14.000         -20.000               3
       133          12.000         -18.000               5
       134          14.000         -18.000               5
       135           2.000          -6.000              10
       136           2.000          -4.000               8
       137          -4.000          -6.000              13
       138           4.000         -12.000              12
       139           4.000          -2.000              10
       140          12.000         -18.000              12
       141          10.000          -8.000               5
       142          14.000         -20.000               6
       143          12.000         -14.000               5
       144          14.000         -20.000               3
       145          12.000         -14.000               5
       146          10.000         -16.000               5
       147          12.000         -18.000               7
       148          12.000         -18.000               4
       149           8.000         -12.000               4
       150           2.000         -10.000               7
       151          -4.000          -8.000               9
       152           0.000          -6.000               8
       153           0.000          -6.000               8
       154          -6.000         -12.000               9
       155          -8.000          -8.000               3
       156          -8.000          -6.000               6
       157          -2.000          -6.000              11
       158           0.000          -8.000               7
       159          -6.000          -8.000               5
       160         -12.000         -14.000               7
       161         -12.000         -18.000               6
       162         -16.000         -24.000               2
       163         -16.000         -24.000               4
       164         -16.000         -24.000               0
       165         -14.000         -20.000               1
       166         -10.000         -14.000               2
       167         -10.000         -10.000               6
       168         -16.000         -24.000              11
       169         -10.000         -10.000               3
       170          -2.000          -8.000               6
       171           2.000          -8.000               6
       172          -4.000         -10.000              11
       173           2.000          -6.000              11
       174          -4.000           0.000              11
       175         -12.000         -12.000               8
       176          -2.000          -4.000               7
       177           6.000         -12.000               6
       178           0.000          -4.000              13
       179          -2.000          -4.000              13
       180           4.000           6.000              13
       181         -10.000          -6.000              11
       182         -14.000         -18.000               8
       183         -14.000         -16.000               4
       184          -8.000          -6.000              11
       185         -12.000         -18.000               6
       186         -10.000         -14.000               5
       187          -6.000         -12.000              10
       188          -2.000         -14.000               8
       189          -4.000          -8.000               7
       190         -14.000         -18.000              11
       191         -12.000         -14.000               5
       192          -8.000          -8.000               8
       193         -10.000          -8.000               5
       194          -2.000         -12.000               8
       195          -2.000          -4.000              12
       196         -10.000          -8.000               8
       197         -10.000         -10.000               6
       198          -4.000          -6.000               5
       199           4.000          -4.000              14
       200           8.000          -8.000               8
       201           8.000         -10.000               6
       202           6.000          -4.000              11
       203           6.000          -8.000              10
       204          -4.000          -4.000              11
       205          -8.000         -12.000              10
       206         -14.000         -18.000               5
       207         -16.000         -24.000               5
       208         -12.000         -18.000               6
       209         -12.000         -12.000              12
       210         -10.000         -12.000               9
       211          -2.000          -4.000               8
       212           2.000          -4.000              14
       213         -12.000         -18.000               9
       214         -10.000         -12.000               7
       215          -4.000          -4.000               9
       216         -12.000         -14.000               8
       217          -6.000         -10.000               3
       218         -10.000         -10.000               6
       219           0.000          -8.000               9
       220          12.000         -18.000               6
       221           6.000          -6.000               7
       222          10.000         -16.000               4
       223          16.000         -24.000               5
       224          16.000         -24.000               0
       225          10.000         -10.000               9
       226           4.000          -4.000               5
       227           8.000          -6.000              10
       228           6.000          -4.000              11
       229          10.000         -12.000               4
       230          12.000         -16.000               1
       231           4.000          -8.000               6
       232          10.000         -16.000              11
       233          12.000         -16.000               7
       234           0.000           0.000              12
       235          -2.000           0.000              15
       236           2.000          -2.000              10
       237          10.000         -10.000              12
       238           4.000          -2.000               5
       239          12.000         -12.000              10
       240           8.000          -8.000               2
       241           6.000          -6.000              13
       242           2.000         -12.000              12
       243          -4.000         -10.000               3
       244         -16.000         -24.000               6
       245         -10.000         -10.000               5
       246          -4.000          -4.000               9
       247           2.000          -4.000              11
       248           2.000          -4.000              12
       249           6.000          -4.000              10
       250          12.000         -10.000               5
       251          12.000         -18.000               4
       252           2.000          -2.000               9
       253           2.000          -6.000              10
       254          -4.000          -8.000               9
       255          -4.000          -6.000               8
       256          -8.000          -6.000              10
       257          -4.000          -4.000              14
       258          -4.000          -4.000              10
