# ising_MCMC.py
# Initializing 2D ising system of size 4x4
# Will run at 2.200 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0           0.000           2.000               0
         1           0.000          -6.000               8
         2          -6.000          -2.000               9
         3         -12.000         -18.000               5
         4         -14.000         -20.000               1
         5         -16.000         -24.000               3
         6         -16.000         -24.000               0
         7         -16.000         -24.000               0
         8         -16.000         -24.000               0
         9         -16.000         -24.000               0
        10          -8.000          -6.000               6
        11          -6.000         -10.000               3
        12          -6.000         -14.000               6
        13          -8.000         -14.000               5
        14          -2.000          -8.000               5
        15           2.000         -14.000               8
        16           2.000          -6.000               4
        17          14.000         -16.000               8
        18          16.000         -24.000               1
        19          16.000         -24.000               0
        20          16.000         -24.000               0
        21          16.000         -24.000               0
        22          14.000         -20.000               1
        23          16.000         -24.000               3
        24          16.000         -24.000               0
        25          16.000         -24.000               2
        26          16.000         -24.000               2
        27          16.000         -24.000               2
        28          16.000         -24.000               0
        29          16.000         -24.000               0
        30          10.000         -12.000               5
        31          10.000         -14.000               4
        32          10.000         -10.000               8
        33           0.000          -6.000               9
        34          -4.000          -2.000               8
        35         -10.000         -14.000               5
        36         -12.000         -12.000               5
        37         -10.000          -8.000               3
        38         -12.000         -12.000               5
        39         -12.000         -10.000               6
        40          -8.000          -8.000               4
        41          -8.000         -10.000              12
        42         -10.000         -14.000               5
        43          -8.000         -12.000               7
        44         -12.000         -18.000               6
        45         -16.000         -24.000               2
        46         -16.000         -24.000               0
        47         -14.000         -18.000               1
        48         -10.000          -8.000               4
        49         -14.000         -16.000               2
        50         -10.000          -8.000               4
        51          -8.000          -8.000               7
        52         -14.000         -18.000               3
        53          -8.000          -8.000               3
        54         -12.000         -14.000               8
        55         -16.000         -24.000               2
        56         -16.000         -24.000               0
        57         -16.000         -24.000               0
        58         -16.000         -24.000               2
        59         -10.000         -14.000               5
        60          -8.000         -10.000               5
        61         -14.000         -20.000               3
        62          -6.000         -12.000              10
        63           0.000          -2.000               9
        64           4.000          -4.000               8
        65          -2.000          -4.000              11
        66           2.000          -6.000               8
        67           2.000          -8.000               8
        68           2.000          -6.000               8
        69          12.000         -16.000               9
        70          16.000         -24.000               2
        71          16.000         -24.000               0
        72          14.000         -20.000               1
        73          16.000         -24.000               1
        74          16.000         -24.000               0
        75          12.000         -14.000               4
        76           4.000         -12.000               4
        77           6.000          -4.000              11
        78           6.000          -8.000              10
        79          12.000         -12.000               7
        80           8.000          -6.000               2
        81           8.000          -8.000               6
        82           2.000          -6.000              13
        83           6.000          -6.000               8
        84           4.000           4.000               9
        85           6.000           2.000              15
        86           0.000           0.000              11
        87           0.000          -4.000              10
        88          -6.000          -6.000               9
        89          -6.000          -6.000               6
        90         -16.000         -24.000               7
        91         -16.000         -24.000               0
        92         -14.000         -20.000               1
        93         -16.000         -24.000               1
        94         -12.000         -16.000               2
        95         -12.000         -16.000               4
        96         -12.000         -16.000               2
        97          -4.000         -12.000               6
        98           2.000          -6.000               9
        99           2.000          -2.000               8
       100           6.000          -2.000              14
       101          12.000         -12.000               9
       102           8.000          -8.000               8
       103          10.000         -14.000               3
       104          14.000         -20.000               4
       105          14.000         -16.000               2
       106          12.000         -12.000               1
       107          10.000         -12.000               5
       108          14.000         -20.000               2
       109          16.000         -24.000               3
       110          16.000         -24.000               0
       111          14.000         -18.000               1
       112          14.000         -18.000               2
       113          16.000         -24.000               3
       114          14.000         -18.000               1
       115          16.000         -24.000               3
       116          16.000         -24.000               0
       117          12.000         -14.000               2
       118          14.000         -18.000               7
       119          14.000         -20.000               2
       120          16.000         -24.000               1
       121          16.000         -24.000               0
       122          14.000         -18.000               1
       123          12.000         -14.000               5
       124           8.000         -10.000               4
       125           4.000         -12.000               6
       126          -6.000          -2.000               9
       127          -2.000          -2.000              10
       128          -4.000          -6.000              13
       129           6.000          -8.000               5
       130          12.000         -18.000               5
       131          14.000         -20.000               1
       132          12.000         -16.000               3
       133          16.000         -24.000               2
       134          16.000         -24.000               0
       135          16.000         -24.000               0
       136          16.000         -24.000               0
       137          16.000         -24.000               0
       138          10.000         -16.000               3
       139           8.000         -12.000               7
       140          12.000         -18.000               6
       141          14.000         -18.000               3
       142          12.000         -14.000               3
       143          12.000         -14.000               6
       144           8.000         -12.000               4
       145           6.000         -10.000               7
       146           4.000         -10.000               9
       147           6.000         -10.000               5
       148          16.000         -24.000               5
       149          14.000         -18.000               5
       150          14.000         -16.000               6
       151          14.000         -16.000               2
       152          14.000         -20.000               2
       153          16.000         -24.000               1
       154          16.000         -24.000               0
       155          12.000         -14.000               2
       156          12.000         -12.000               4
       157          10.000         -16.000               3
       158          14.000         -18.000               2
       159          14.000         -16.000               4
       160           8.000         -14.000               5
       161          12.000         -18.000               4
       162          14.000         -18.000               1
       163          12.000         -12.000               3
       164          14.000         -20.000               3
       165          14.000         -20.000               2
       166          16.000         -24.000               5
       167          16.000         -24.000               0
       168          12.000         -16.000               6
       169           6.000         -12.000               7
       170           8.000         -12.000               5
       171           6.000          -6.000              11
       172          10.000         -14.000               6
       173           8.000         -10.000               5
       174          10.000         -12.000               5
       175          10.000         -12.000               2
       176          14.000         -18.000               2
       177          12.000         -14.000               1
       178           6.000         -12.000               5
       179           6.000         -12.000               6
       180          12.000         -12.000               5
       181           8.000         -12.000               8
       182           8.000          -8.000               8
       183           8.000          -6.000               6
       184           2.000          -4.000               9
       185           4.000          -6.000               9
       186           6.000         -12.000               9
       187          -2.000          -4.000               8
       188         -12.000         -16.000               9
       189         -16.000         -24.000               2
       190         -16.000         -24.000               2
       191         -14.000         -18.000               1
       192         -16.000         -24.000               3
       193         -16.000         -24.000               2
       194         -14.000         -18.000               1
       195         -14.000         -18.000               0
       196         -14.000         -20.000               2
       197          -8.000         -10.000               5
       198         -16.000         -24.000               4
       199         -16.000         -24.000               2
       200         -16.000         -24.000               0
       201         -16.000         -24.000               2
       202         -16.000         -24.000               0
       203         -16.000         -24.000               0
       204         -14.000         -18.000               1
       205         -12.000         -14.000               3
       206         -12.000         -14.000               4
       207         -14.000         -16.000               3
       208         -10.000          -8.000               2
       209         -12.000         -10.000               5
       210         -10.000         -10.000               5
       211          -8.000         -12.000               7
       212          -6.000         -10.000               7
       213           0.000         -16.000               5
       214           8.000          -8.000               4
       215          14.000         -16.000               7
       216          16.000         -24.000               3
       217          14.000         -18.000               3
       218          12.000         -18.000               3
       219          14.000         -20.000               5
       220          14.000         -20.000               2
       221          14.000         -20.000               0
       222          16.000         -24.000               1
       223          14.000         -18.000               1
       224          14.000         -18.000               2
       225          16.000         -24.000               1
       226          10.000          -8.000               7
       227          14.000         -18.000               2
       228          12.000         -16.000               5
       229           4.000          -4.000               6
       230           6.000          -6.000              11
       231           0.000          -4.000              13
       232           6.000         -12.000               5
       233           8.000         -16.000               7
       234           6.000         -12.000               3
       235          12.000         -14.000               3
       236           4.000         -10.000               8
       237           0.000           2.000              12
       238          -4.000         -12.000              10
       239          -4.000          -6.000               8
       240          -6.000          -6.000               9
       241          -4.000          -6.000               7
       242          -8.000         -10.000               8
