# ising_MCMC.py
# Initializing 2D ising system of size 8x8
# Will run at 2.000 kT for 2500 sweeps
      Time   Magnetization          Energy    NumSuccesses
         0          10.000           0.000               0
         1          10.000         -16.000              38
         2          28.000         -58.000              37
         3          36.000         -72.000              16
         4          38.000         -82.000              17
         5          40.000         -60.000              11
         6          40.000         -70.000              10
         7          30.000         -60.000              13
         8          28.000         -60.000              17
         9          30.000         -52.000              25
        10          22.000         -46.000              20
        11          22.000         -52.000              18
        12          34.000         -54.000              26
        13          32.000         -62.000              25
        14          48.000         -74.000              16
        15          56.000         -88.000              12
        16          56.000         -90.000               8
        17          62.000        -106.000               5
        18          56.000         -88.000               5
        19          52.000         -72.000              10
        20          50.000         -76.000              11
        21          52.000         -80.000              13
        22          54.000         -98.000               9
        23          58.000        -100.000               2
        24          58.000         -96.000               4
        25          60.000        -100.000               7
        26          60.000        -106.000               4
        27          56.000        -104.000               2
        28          52.000         -82.000              10
        29          58.000        -100.000              13
        30          54.000         -82.000              10
        31          58.000         -98.000               8
        32          58.000         -94.000               6
        33          54.000         -86.000               8
        34          60.000         -98.000              11
        35          62.000        -106.000               3
        36          62.000        -106.000               4
        37          58.000         -98.000               6
        38          62.000        -106.000               6
        39          64.000        -112.000               5
        40          58.000         -96.000               3
        41          46.000         -74.000              14
        42          40.000         -62.000              23
        43          44.000         -82.000              30
        44          50.000         -92.000              15
        45          54.000         -90.000               6
        46          54.000         -92.000              12
        47          52.000         -80.000               5
        48          32.000         -68.000              18
        49          30.000         -74.000              15
        50          32.000         -62.000              21
        51          42.000         -80.000              15
        52          44.000         -82.000              11
        53          48.000         -86.000              16
        54          54.000         -84.000              17
        55          46.000         -86.000              16
        56          52.000         -80.000              13
        57          48.000         -74.000               8
        58          46.000         -78.000               9
        59          46.000         -68.000              14
        60          50.000         -80.000              12
        61          48.000         -76.000              11
        62          50.000         -88.000              13
        63          48.000         -94.000               9
        64          48.000         -92.000               4
        65          38.000         -68.000              13
        66          36.000         -64.000              17
        67          30.000         -50.000              25
        68          18.000         -44.000              28
        69          14.000         -46.000              28
        70          12.000         -60.000              23
        71          18.000         -38.000              23
        72          18.000         -56.000              22
        73          36.000         -64.000              23
        74          46.000         -74.000              21
        75          60.000         -98.000              11
        76          58.000         -94.000               9
        77          60.000        -100.000               5
        78          52.000         -82.000              10
        79          52.000         -90.000              12
        80          46.000         -78.000              11
        81          52.000         -88.000              19
        82          62.000        -106.000               7
        83          62.000        -106.000               4
        84          60.000        -100.000               3
        85          62.000        -104.000               1
        86          60.000        -100.000               5
        87          60.000         -98.000               2
        88          64.000        -112.000               4
        89          62.000        -106.000               1
        90          62.000        -106.000               2
        91          58.000         -98.000               6
        92          62.000        -106.000              10
        93          62.000        -104.000               6
        94          56.000         -82.000               7
        95          58.000         -92.000               3
        96          58.000         -94.000               6
        97          58.000         -92.000               8
        98          58.000         -98.000               4
        99          56.000         -82.000               5
       100          60.000         -98.000              10
       101          52.000         -84.000              10
       102          52.000         -84.000              18
       103          44.000         -60.000              10
       104          50.000         -74.000               9
       105          46.000         -68.000              14
       106          56.000         -90.000              15
       107          56.000         -96.000               4
       108          56.000         -92.000               6
       109          56.000         -96.000              10
       110          56.000         -96.000              10
       111          50.000         -86.000               7
       112          44.000         -70.000              13
       113          40.000         -70.000              22
       114          42.000         -76.000              17
       115          24.000         -68.000              23
       116          24.000         -74.000              10
       117           8.000         -70.000              16
       118          22.000         -66.000              21
       119          22.000         -56.000              26
       120          28.000         -62.000              23
       121          34.000         -66.000              17
       122          36.000         -82.000              15
       123          32.000         -68.000               8
       124          40.000         -64.000              26
       125          34.000         -64.000              17
       126          40.000         -72.000              21
       127          42.000         -74.000              15
       128          62.000        -106.000              14
       129          64.000        -112.000               1
       130          64.000        -112.000               4
       131          62.000        -104.000               3
       132          64.000        -112.000               1
       133          60.000         -96.000               2
       134          60.000         -96.000               8
       135          58.000         -92.000               3
       136          62.000        -104.000               2
       137          62.000        -106.000               2
       138          52.000         -98.000               7
       139          50.000         -78.000              13
       140          52.000         -98.000              11
       141          56.000        -100.000               8
       142          54.000         -92.000               3
       143          56.000         -96.000               7
       144          56.000        -100.000               6
       145          52.000         -84.000               6
       146          46.000         -80.000               9
       147          36.000         -78.000              11
       148          30.000         -78.000              21
       149          28.000         -64.000              15
